Taxon	flowering.duration	maximum.height	seed.mass	SLA	wood.density	leaf.narrowness
acacia bakeri	3	40	55.2395		0.7725	
alangium villosum	6	20	191.78	17.77262044	0.556833333	
arytera divaricata		30	59.7	10.95107768	0.6115	
bursaria incana	3	10	2.927		0.74	
callistemon salignus	3	6	0.04832647		0.839	
carex appressa	4	1.5	0.9155	14.14		
cayratia clematidea	3	2	24.47433333	41.08713127		
cissus hypoglauca	6	15	37.75933333	14.36542217		
dioscorea transversa	3	1.5	21.3085	42.67855042		
diospyros australis		20	233.462	7.238295838	0.633	
dysoxylum rufum		30	108.47	24.54590083	0.551	
endiandra sieberi	5	30	1758.5	9.269558769	0.6325	
euroschinus falcatus		30	7.62	13.67119797	0.4225	
ficus fraseri		35	0.23	15.20347059	0.443	
ficus obliqua		50	0.44	13.21003963	0.513	
flindersia schottiana	2	45	53.326	9.532888465	0.584857143	
helicia glabriflora		30	152.7	8.400537634	0.5762	
hippocratea barbata	2	1.3	41.5	26.60299833		
melaleuca quinquenervia	7	35	0.200263476	7.962321972	0.670125036	
melia azedarach	4	45	321.3758325		0.387666667	
mischocarpus pyriformis		30	187.2	8.786000605	0.6	
passiflora edulis	5	5	13.481	21.6		
psychotria loniceroides	3	5	9.589085781	14.66992496	0.69	
ricinus communis	3	3.5	295.6	47.11		
syzygium luehmannii	3	35	21.10370999	13.91718481	0.645	
trema tomentosa	4	6	3.53	27.54353253	0.356552427	
wikstroemia indica	2	4	17	25.1572327	0.58	
cyperus involucratus	5	1.2	0.055			211.7647059
casuarina cunninghamiana	12	25	1.1005	2.825190956	0.677050148	200
lomandra longifolia	5	1	11.33	5.078207361		120
flagellaria indica	12	2	33.04033134	18.84589671		20
callistemon viminalis	7	8	0.373767045	8.67904711	0.689	14
acacia fimbriata	5	6	21.13132885	8.88		8.75
melaleuca bracteata	3	15	0.057017027		0.87	8.444444444
argyrodendron trifoliolatum	3	40	110	11.53063133	0.762	5.5
elaeocarpus grandis	3	34.7	27.72609681	13.90226066		5.4
cinnamomum oliveri	2	25			0.473	4.6
grevillea robusta	3	35	21.87425633	10.60468018	0.525517021	4.583333333
geitonoplesium cymosum	6	3	15.32	32.90140926		4.285714286
cryptocarya laevigata	3	7		11.48502644		4.25
tristaniopsis laurina	2	30	10.25641026	7.205137828	0.761540363	4.111111111
elattostachys nervosa	9	40		17.63055773	0.6622	4
leucaena leucocephala	3	8	48		0.76	4
pittosporum undulatum	4	25	9.342539041	11.1524932	0.6446	3.818181818
lophostemon confertus	3	40	6.500124679		0.7328	3.785714286
daphnandra tenuipes	4	20			0.5633	3.777777778
rhodosphaera rhodanthema	3	27	448.871		0.5895	3.714285714
rubus rosifolius	12	1	0.524784111	23.95933333		3.666666667
ochna serrulata	6	3	83.76	20.19766667		3.636363636
ficus watkinsiana		40	1.978		0.375	3.5
wilkiea huegeliana	3	13.5	131.15	9.9607304	0.62095	3.5
jagera pseudorhus	3	15	37.25315709	22.29868475	0.653	3.461538462
planchonella australis	4	40	670.4572629		0.7568	3.428571429
castanospermum australe	3	35	13487.43901	14.65211768	0.61475	3.375
calamus muelleri	3	10	443.925	13.0429245		3.333333333
diploglottis australis	3	45			0.621233333	3.333333333
rhodomyrtus psidioides	2	20	4.1765	13.12388208	0.7783	3.333333333
syzygium floribundum	2	30	1455.381038	13.58	0.5897	3.307692308
tecoma stans	6	5	9		0.462	3.289473684
tabernaemontana pandacaqui	6	4	23.597			3.285714286
pandorea pandorana	7	1.6	3.9844375	27.01734496	0.4477	3.28125
myrsine variabilis	5	10	28.404	11.69247939	0.75917	3.25
pothos longipes	2		109	12.0048		3.25
syzygium australe	3	24	243.7709461	12.26777112	0.6115	3.25
hymenosporum flavum	3	28	6.745120843	14.71574702	0.5885	3.2
schefflera actinophylla	5	24	7.879037868		0.4065	3.166666667
synoum glandulosum	3	20	202.231066	12.37756036	0.527571429	3.111111111
alectryon tomentosus	4	20	23.71025529			3
cryptocarya glaucescens	2	45	323.99	10.45066667	0.5472	3
elaeocarpus obovatus	3	40	86.232	10.84168512	0.60665	3
syzygium oleosum	10	17	198.3208963	11.3613777	0.751443983	3
notelaea longifolia	7	9	97.8275	9.648457335	0.83987	2.954545455
parsonsia straminea	5	17	8.848	22.37626912		2.947368421
toona ciliata	4	45	2	14.93281493	0.397125	2.923076923
beilschmiedia obtusifolia	2	35	384	10.98780354	0.637	2.909090909
diospyros pentamera	4	27.8	46.04	8.348706082	0.601666667	2.888888889
archirhodomyrtus beckleri	3	10	1.495	11.16427286	0.53	2.875
endiandra pubens	3	25			0.64965	2.857142857
sloanea australis	6	45		13.838	0.509	2.846153846
cryptocarya bidwillii	3	20			0.645	2.833333333
diospyros fasciculosa	3	30			0.69	2.8
alphitonia excelsa	5	35	20.16374881	10.7194951	0.598	2.714285714
eupomatia laurina	3	15	13.42415737	14.64945042	0.509	2.714285714
pavetta australiensis	3	7	219			2.714285714
acronychia oblongifolia	2	20	14.31078431	14.63068914	0.67375	2.711864407
senna septemtrionalis	9	3	20.604			2.674418605
lophostemon suaveolens	3	30	0.565	9.421189438	0.613878132	2.666666667
morinda jasminoides	7	20	7.248333333	26.0434634		2.625
guioa semiglauca	3	40	42.63766667	12.3810054	0.7161	2.6
canarium australasicum		40	678.88		0.584	2.571428571
callerya megasperma	3	20	7385.347116			2.545454545
sarcopteryx stipata	4	40	37.19	9.169264625	0.83875	2.545454545
cryptocarya obovata	3	45		13.24898537	0.51035	2.5
cryptocarya triplinervis	4	20	263.8843078	14.83633321	0.65	2.5
cupaniopsis anacardioides	4	15	183.1453318	10.92283161	0.7675	2.5
pararchidendron pruinosum	4	20	56	24.60629921	0.5125	2.5
backhousia myrtifolia	3	35	10.9135	10.26136498	0.816764934	2.444444444
arytera distylis	2	20			0.6321	2.4
neolitsea dealbata	3	20	146.0075	12.74945021	0.499757143	2.380952381
clerodendrum floribundum	5	13	43.7			2.375
carronia multisepalea		15	62.832		0.5805	2.363636364
glochidion ferdinandi	12	35	2.242338365	14.71389809	0.587793125	2.363636364
acmena smithii	4	20	239.8930164	9.149745374	0.647333333	2.333333333
capparis arborea	3	10	49.052	8.893318898	0.681	2.307692308
rhodamnia rubescens	4	30	3.798	10.993	0.6414	2.307692308
cissus antarctica	9	2	65.4	16.02778242	0.545107896	2.285714286
toechima tenax	3	30			0.6622	2.25
solanum mauritianum	9	4	1.07	20.12699687	0.449091629	2.228571429
maclura cochinchinensis		15	11.167	18.42224673		2.2
clematis aristata	4	8	3.993	21.94023009	0.2981	2.181818182
drypetes deplanchei	3	25	91.2435	10.30731679	0.778	2.166666667
ficus coronata	12	20	0.445	16.77467948	0.438253	2.142857143
ligustrum lucidum	6	4.5	22.793	13.21167898	0.57942	2.125
notelaea microcarpa	7	10	43.521	6.615	0.638719277	2.121212121
ixora beckleri	4	15			0.8256	2.111111111
citronella moorei	5	40			0.576	2.1
elattostachys xylocarpa	5	25			0.6626	2.037037037
breynia oblongifolia	3	8	6.744	12.95235	0.62	2
cinnamomum camphora	6	20	92.5	16.44677541	0.460635	2
cleistanthus cunninghamii	2	25		15.84799898	0.643725	2
embelia australiana	1		59.49	12.77505002		2
endiandra discolor	2	25	250.42	9.726514482	0.58725	2
ficus opposita		10	0.8725	8.274036075	0.44	2
ficus racemosa		35	0.13		0.37	2
olea paniculata	3	30	82.5	15.1194436	0.760333333	2
rhodamnia argentea	4	40	16.978		0.705366667	2
trophis scandens	12		80.55	10.49585169	0.658939167	2
derris involuta	6	20	17.508			1.9
mallotus claoxyloides	6	8	62.86036375	17.06017648		1.888888889
marsdenia rostrata	6	1.8	77.35	23.69965666		1.888888889
celtis sinensis	12	15	47.44	27.57638816	0.59	1.8
polyscias elegans	5	30	6.840260938	13.73551125	0.36075	1.789473684
aphananthe philippinensis	3	35	36.47415914	15.09208746	0.58125	1.777777778
mallotus philippensis	11	25	22.75025911	19.12979351	0.603333333	1.777777778
lantana camara	2	4	19.0005	23.70912845		1.75
ligustrum sinense	5	3	16.82566667	9.712397385	0.612	1.75
eugenia uniflora	7	8	258.292		0.7568	1.727272727
tecoma capensis	6	3	2.148			1.666666667
streblus brunonianus	9	30	12	21.07134504	0.68125	1.6
smilax australis	6	4	35.2845	11.21656857		1.538461538
commersonia bartramia	3	25	9.5	11.50350857	0.4205	1.5
legnephora moorei	3		36	27.15177844		1
stephania japonica	6	1	20.58866667	21.61541145		1
aristolochia elegans	6	3	2.104			0.846153846
pittosporum multiflorum	6	4.2	11.071			0.4
